palabra,coeficiente
worst,-5.263624896485428
dirty,-4.102112756490249
rude,-3.933702027178675
disgusting,-3.7550957292383305
filthy,-3.748275596637309
horrible,-3.7235956908301056
unfriendly,-3.532842326450112
terrible,-3.479316658115882
unhelpful,-3.360018167945528
awful,-3.273413191305858
joke,-3.028096121335688
unprofessional,-3.020141665223152
bad,-2.9036989056837204
poor,-2.8838047785365153
refused,-2.755436636466467
