palabra,coeficiente
excellent,2.421857898297461
reasonably priced,2.3046665251055654
perfect,2.0306033659373766
amazing,2.0269797866494446
great,2.0029281839289945
fantastic,1.8765935939797949
high standard,1.8591769077639875
value money,1.711547685441117
superb,1.59554584748661
wonderful,1.595163888888058
loved,1.5877790689467317
impeccable,1.5583897446505202
exceptional,1.5445555349209819
beautiful,1.5429393179377213
spotless,1.5000537972661876
